Category,City,Country,Customer ID,Customer Name,Market,Order Date,Order ID,Order Priority,Postal Code,Product ID,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales,Shipping Cost
Office Supplies,Juárez,Mexico,TD-2099582,Tamara Dahlen,LATAM,12/31/2015,MX-2015-TD2099582-42369,Medium,,OFF-ST-4261,"Fellowes Folders, Blue",Central America,Consumer,1/6/2016,Standard Class,Chihuahua,Storage,0,9.12,2,35.2,3.448
Office Supplies,Juárez,Mexico,TD-2099582,Tamara Dahlen,LATAM,12/31/2015,MX-2015-TD2099582-42369,Medium,,OFF-LA-4664,"Hon Legal Exhibit Labels, Alphabetical",Central America,Consumer,1/6/2016,Standard Class,Chihuahua,Labels,0,0.56,1,7.12,1.199
Technology,Santo Domingo,Dominican Republic,RR-1952536,Rick Reed,LATAM,12/31/2015,MX-2015-RR1952536-42369,Medium,,TEC-AC-5201,"Memorex Keyboard, Programmable",Caribbean,Corporate,1/5/2016,Standard Class,Santo Domingo,Accessories,0.2,40.752,4,155.392,12.752
Office Supplies,Managua,Nicaragua,CS-1240093,Christopher Schild,LATAM,12/30/2015,MX-2015-CS1240093-42368,Medium,,OFF-AR-3492,"Binney & Smith Pencil Sharpener, Easy-Erase",Central America,Home Office,1/5/2016,Standard Class,Managua,Art,0,77.04,9,167.58,10.839
Technology,Carrefour,Haiti,AC-1066054,Anna Chung,LATAM,12/29/2015,US-2015-AC1066054-42367,Medium,,TEC-CO-3596,"Brother Fax Machine, Digital",Caribbean,Consumer,1/4/2016,Standard Class,Ouest,Copiers,0.402,-52.23672,3,380.54328,22.27
Office Supplies,Carrefour,Haiti,AC-1066054,Anna Chung,LATAM,12/29/2015,US-2015-AC1066054-42367,Medium,,OFF-ST-5711,"Rogers Trays, Single Width",Caribbean,Consumer,1/4/2016,Standard Class,Ouest,Storage,0.4,-57.652,7,172.788,13.96
Office Supplies,Carrefour,Haiti,AC-1066054,Anna Chung,LATAM,12/29/2015,US-2015-AC1066054-42367,Medium,,OFF-EN-4913,"Jiffy Interoffice Envelope, with clear poly window",Caribbean,Consumer,1/4/2016,Standard Class,Ouest,Envelopes,0.4,-30.04,5,99.96,6.469
Furniture,Pinar del Río,Cuba,RB-1946531,Rick Bensley,LATAM,12/29/2015,MX-2015-RB1946531-42367,Medium,,FUR-BO-5798,"Safco Stackable Bookrack, Pine",Caribbean,Home Office,1/4/2016,Standard Class,Pinar del Río,Bookcases,0,246.48,6,601.32,5.984
Office Supplies,Carrefour,Haiti,AC-1066054,Anna Chung,LATAM,12/29/2015,US-2015-AC1066054-42367,Medium,,OFF-ST-6273,"Tenex Shelving, Industrial",Caribbean,Consumer,1/4/2016,Standard Class,Ouest,Storage,0.4,-26.496,4,88.224,5.788
Office Supplies,Carrefour,Haiti,AC-1066054,Anna Chung,LATAM,12/29/2015,US-2015-AC1066054-42367,Medium,,OFF-EN-3672,"Cameo Manila Envelope, with clear poly window",Caribbean,Consumer,1/4/2016,Standard Class,Ouest,Envelopes,0.4,-30.62,5,61.08,4.606
Office Supplies,Pinar del Río,Cuba,RB-1946531,Rick Bensley,LATAM,12/29/2015,MX-2015-RB1946531-42367,Medium,,OFF-ST-6281,"Tenex Trays, Blue",Caribbean,Home Office,1/4/2016,Standard Class,Pinar del Río,Storage,0,3.24,1,36.14,3.421
